city,year,transport_old_mt_co2,transport_new_mt_co2,delta_mt_co2,pct_change
Jackson,2034,1290575.3868787491,397388.694610518,-893186.6922682312,-69.20840900494773
Jackson,2035,1250086.09034508,382625.4274920487,-867460.6628530313,-69.39207383817647
Jackson,2036,1212714.8061151672,368676.35919698107,-844038.4469181861,-69.59908815016404
Jackson,2037,1178157.3424067858,355298.39900738496,-822858.9433994009,-69.84287359432251
Jackson,2038,1146626.0536880577,342538.13866187725,-804087.9150261804,-70.12642983646475
Jackson,2039,1116665.3132764357,330535.6640689898,-786129.6492074459,-70.39975540216639
Jackson,2040,1090463.9103799688,319406.64728358056,-771057.2630963882,-70.70910424057185
Jackson,2041,1057216.6299704844,309067.154608406,-748149.4753620784,-70.76595790807467
Jackson,2042,1035772.663365919,299259.8601709618,-736512.8031949572,-71.10757304614836
Jackson,2043,1015569.9412189332,289955.77212012996,-725614.1690988033,-71.4489607902227
Jackson,2044,1003134.6174814224,281460.95439630747,-721673.6630851149,-71.94185610870717
Jackson,2045,989780.7733605944,273245.441255652,-716535.3321049424,-72.39333712980664
Jackson,2046,980367.8679640512,265687.9031474157,-714679.9648166355,-72.89916246447623
Jackson,2047,970492.093678452,258767.35715185216,-711724.7365265999,-73.33647962333755
Jackson,2048,968065.7802681644,252183.4651454515,-715882.3151227129,-73.94975937734375
Jackson,2049,972433.9222240328,246356.86034399603,-726077.0618800367,-74.66595367420354
Jackson,2050,979497.367861704,240748.4140473124,-738748.9538143915,-75.42122909703379
Kansas City,2027,1603108.6910768675,1437863.2097295555,-165245.481347312,-10.307815200996163
Kansas City,2028,1539102.1430715837,1374954.4724185818,-164147.67065300187,-10.665157695473845
Kansas City,2029,1506549.9665316714,1323600.8545656363,-182949.1119660351,-12.143580766007673
Kansas City,2030,1455393.219742279,1274969.3876171343,-180423.83212514478,-12.396913059488776
Kansas City,2031,1408367.275946535,1228346.5405024127,-180020.73544412223,-12.7822293601031
Kansas City,2032,1355844.0604569844,1182142.703026027,-173701.3574309575,-12.81130791489486
Kansas City,2033,1339843.91634235,1140724.640421667,-199119.27592068305,-14.861378515212447
Kansas City,2034,1290575.3868787491,1100904.8415983224,-189670.54528042674,-14.696587832745218
Kansas City,2035,1250086.09034508,1063313.0232418012,-186773.06710327882,-14.940816360233322
Kansas City,2036,1212714.8061151672,1027387.1739283174,-185327.63218684983,-15.28204580766452
Kansas City,2037,1178157.3424067858,993581.9451254174,-184575.39728136838,-15.666447140609465
