city,state,region,year,v1_excel_mt_co2,v2_city_specific_mt_co2,v3_mpg_split_mt_co2,v2_v1_delta,v2_v1_pct,v3_v1_delta,v3_v1_pct,v3_v2_delta,v3_v2_pct,v2_gasoline,v2_diesel,v2_ethanol,v2_electricity,v3_gasoline,v3_diesel,v3_ethanol,v3_electricity
Birmingham,Alabama,SRSE,2035,1250086.09034508,585726.3184908376,665984.6698156002,-664359.7718542424,-53.14512152285842,-584101.4205294799,-46.72489559245008,80258.35132476257,13.702363849989444,507318.1947384654,31621.188575953285,44702.64738662532,2084.287789793566,597620.035309614,26773.30195092293,38867.8478676733,2723.484687389874
Birmingham,Alabama,SRSE,2036,1212714.8061151672,565179.7161170028,643414.6135651101,-647535.0899981644,-53.39549634695153,-569300.1925500571,-46.944276566867664,78234.89744810737,13.842481465118835,490036.8728920614,31418.43586003348,41474.34670333654,2250.0606615712754,577872.0485922858,26522.397929043385,36082.00692450002,2938.160119280955
Birmingham,Alabama,SRSE,2037,1178157.3424067858,545717.6363905059,622362.4626684884,-632439.7060162799,-53.680411202489076,-555794.8797382974,-47.17492814693986,76644.82627798244,14.04477721939277,473599.7358354098,31248.34741827818,38477.94412460503,2391.6090122129544,559437.1216724525,26323.632960804036,33476.94635181767,3124.761683414114
Birmingham,Alabama,SRSE,2038,1146626.0536880577,527232.5794596325,602780.1763767768,-619393.4742284252,-54.01878600579336,-543845.8773112809,-47.43009942622806,75547.59691714426,14.329083569640929,457869.7917185699,31105.84684300833,35695.82242498061,2561.118473073666,542207.7748016379,26181.156726585345,31043.394104061328,3347.8507444922952
Birmingham,Alabama,SRSE,2039,1116665.3132764357,509854.8592379121,583916.6486100169,-606810.4540385236,-54.34130055119791,-532748.6646664188,-47.70889346453035,74061.7893721048,14.52605345034979,442981.1017447194,30996.58656123781,33113.970153673516,2763.2007782814176,525399.7956847053,26101.336234858452,28805.134219834035,3610.3824706191376
Birmingham,Alabama,SRSE,2040,1090463.9103799688,493705.7243581616,566645.7559867173,-596758.1860218071,-54.72516608219236,-523818.1543932515,-48.036266895869,72940.03162855568,14.773989449561439,428990.0893649863,30929.793116200104,30717.77893757669,3068.062939398543,509814.5680936846,26100.10909390475,26724.15034715302,4006.9284519748594
Birmingham,Alabama,SRSE,2041,1057216.6299704844,478860.74855842546,544656.3058735622,-578355.881412059,-54.70552250282004,-512560.3240969222,-48.482052737974044,65795.55731513677,13.740018891339368,415883.5806049334,30897.747091947724,28495.032657600987,3584.3882039434056,488991.89980150986,26176.332763373983,24763.965509357513,4724.107799320822
Birmingham,Alabama,SRSE,2042,1035772.663365919,464777.2469088838,529649.6094588004,-570995.4164570352,-55.12748469355127,-506123.0539071186,-48.864299262580055,64872.36254991661,13.957732006324818,403545.36880934465,30897.076638997696,26433.163508338075,3901.637952203358,475208.18683248264,26336.753050012427,22970.864984156455,5133.804592148832
Birmingham,Alabama,SRSE,2043,1015569.9412189332,451542.07476453367,515594.73955416126,-564027.8664543995,-55.53806228032189,-499975.20166477194,-49.23099644566862,64052.6647896276,14.185314806605618,392018.17306242103,30930.413236347198,24520.38465567883,4073.1038100866267,462338.5205962088,26593.995521709166,21306.56681757805,5355.6566186652435
Birmingham,Alabama,SRSE,2044,1003134.6174814224,439709.2567186269,504240.24871836166,-563425.3607627954,-56.16647565980642,-498894.3687630607,-49.73354124849549,64530.991999734775,14.675832044406704,381353.0195463713,31003.21309155398,22745.619112552242,4607.404968149325,451487.24822939344,26965.15531715277,19718.15208942417,6069.693082391228
